Play,Genre,Top 10 Distinctive Terms
Hamlet,tragedy,"norway, players, does, madness, england, marcellus, majesty, ghost, phrase, act"
Macbeth,tragedy,"does, hail, scotland, tyrant, wood, deed, knock, daggers, kings, knocking"
Othello,tragedy,"moor, roderigo, handkerchief, cyprus, emilia, lieutenant, general, willow, venice, michael"
King Lear,tragedy,"edmund, gloucester, kent, tom, daughters, france, burgundy, letter, dover, gods"
Romeo and Juliet,tragedy,"nurse, paris, friar, county, mantua, thursday, banished, verona, cell, cousin"
Julius Caesar,tragedy,"caesar, brutus, cassius, antony, rome, octavius, lucius, capitol, romans, philippi"
Antony and Cleopatra,tragedy,"antony, caesar, cleopatra, egypt, pompey, lepidus, agrippa, rome, gods, does"
Coriolanus,tragedy,"rome, gods, voices, city, general, titus, caius, senate, capitol, senators"
A Midsummer Night's Dream,comedy,"thisbe, helena, athens, wall, athenian, fairy, robin, lion, wood, lovers"
Much Ado About Nothing,comedy,"claudio, hero, prince, signior, margaret, cousin, count, john, friar, ursula"
Twelfth Night,comedy,"andrew, sebastian, niece, knight, does, count, antonio, maria, letter, gartered"
As You Like It,comedy,"phoebe, shepherd, duke, forest, ding, charles, rowland, silvius, hey, prithee"
The Merchant of Venice,comedy,"portia, jew, antonio, ducats, bond, gratiano, venice, doctor, clerk, judge"
The Taming of the Shrew,comedy,"lucentio, kate, bianca, petruchio, baptista, katherine, signior, padua, merchant, knock"
The Comedy of Errors,comedy,"chain, angelo, rope, merchant, dinner, abbey, duke, officer, mart, ducats"
The Tempest,comedy,"monster, naples, stephano, milan, sebastian, island, ferdinand, cell, antonio, isle"
Henry V,history,"france, french, england, vous, kate, english, majesty, exeter, harry, constable"
Richard III,history,"edward, richard, hastings, clarence, york, margaret, tower, gloucester, duke, rivers"
Henry IV Part 1,history,"percy, hal, falstaff, douglas, harry, john, prince, poins, wales, jack"
Henry IV Part 2,history,"john, bardolph, falstaff, davy, harry, prince, shallow, pistol, doll, westmoreland"
Richard II,history,"bolingbroke, richard, hereford, york, gaunt, mowbray, norfolk, cousin, duke, northumberland"
